docid,firstpub,date,selectedby,source,birthyr,gender,author,imprint,numwords,originalid,title,,
robinsoncrusoe,1719,1719,ecco,gutenberg,1660,m,"Defoe, Daniel, 1660-1731",,120773,robinsoncrusoe.txt,The Life and Strange Surprizing Adventures of Robinson Crusoe,,
DefoDRM,1724,1724,ecco,gutenberg,1660,m,"Defoe, Daniel, 1660-1731",,160783,DefoDRM.txt,Roxana: The Fortunate Mistress,,
SwifJGT,1726,1726,canon,gutenberg,1667,m,"Swift, Jonathan, 1667-1745",,104120,SwifJGT.txt,Gulliver's Travels into Several Remote Nations of the World,,
CibbTFO,1739,1739,ecco,ecco,,m,"Cibber, Theophilus, 1703-1758","London : printed for T. Read, in Dogwell-Court, White-Fryers",9391,CibbTFO.txt,FOUR ORIGINAL LETTERS VIZ. Two from a HUSBAND to a GENTLEMAN: AND Two from a HUSBAND to a WIFE.,,
RichSPV,1740,1740,ecco,gutenberg,1689,m,"Richardson, Samuel",,221124,RichSPV.txt,Pamela,,
tomjones,1749,1749,canon,gutenberg,1707,m,"Fielding, Henry, 1707-1754",,345353,tomjones.txt,"The History of Tom Jones, a Foundling",,
LennCSI,1753,1753,ecco,ecco,,f,"Lennox, Charlotte, ca. 1729-1804",London : printed for A. Millar in the Strand,183016,LennCSI.txt,Shakespear Illustrated: OR THE NOVELS and HISTORIES On which the PLAYS of SHAKESPEAR Are Founded COLLECTED and TRANSLATED from the ORIGINAL AUTHORS. WITH CRITICAL REMARKS. In TWO VOLUMES. BY THE Author of the FEMALE QUIXOTE.,,
RichSHS,1753,1753,canon,ecco,,m,"Richardson, Samuel, 1689-1761","[Dublin] : London, printed by S. Richardson, and Dublin, re-printed and sold by the booksellers",751734,RichSHS.txt,THE HISTORY OF Sir CHARLES GRANDISON. IN A SERIES of LETTERS Published from the ORIGINALS By the Editor of PAMELA and CLARISSA.,,
CharCMO,1755,1755,ecco,ecco,,f,"Charke, Charlotte, 1713-1760","London : Bailey, printer (no. 110,) Leadenhall Street",5423,CharCMO.txt,THE MERCER OR Fatal Extravagance: BEING A TRUE NARRATIVE Of the LIFE of Mr. Wm. DENNIS.,,
StevGHT,1760,1760,ecco,ecco,,m,"Stevens, George Alexander, 1710-1784","London : printed for T. Waller, opposite Fetter-Lane, Fleet-Street",49711,StevGHT.txt,THE HISTORY OF TOM FOOL.,,
